exon_id,n_exp,slope_exp,pearson_exp,spearman_exp,n_mean,slope_mean,pearson_mean,spearman_mean,n_prod,slope_prod,pearson_prod,spearman_prod
DUS4L_e5,295,1.2777552323975059,0.8464542759262262,0.8573232199292402,295,0.7155728985659386,0.8072294760448889,0.7888361285511455,295,1.3203296535919464,0.8042134260844027,0.788778818494664
DYNC2H1_e67,318,0.3339236362692156,0.6574835457794848,0.656001525510769,318,0.3085546707001761,0.6958117761277093,0.6762559832956778,318,0.44961480698326717,0.6902276417309404,0.6750416922770622
DYSF_e10,136,0.5165723598889169,0.6401758575728878,0.6113067124660082,136,0.3763121728596831,0.6089441501040186,0.6538292726054684,136,0.6076991644349494,0.6019764341170556,0.6524648273764788
DYSF_e17,114,0.42054732108659865,0.6177516754503867,0.6989747047962022,114,0.4157312985296437,0.7050329870492117,0.7398270589902999,114,0.8196976069750592,0.7066869056651753,0.7396245519531804
DZIP1L_e2,395,0.14687056263436002,0.3573917375530516,0.3611078591490036,395,0.522948009727095,0.7205882182972038,0.7151087203933164,395,0.9265928487323086,0.7214606599067309,0.715477964094541
EAF2_e3,397,0.35759328871986934,0.645076070472056,0.7511911351630121,397,0.399465207555799,0.6129775706094936,0.6634387331111288,397,0.47092151186718717,0.5806359633365321,0.6575983040918151
EHBP1_e17,312,1.3198231196834027,0.8353166347803134,0.8322648967948526,312,0.22451700021426374,0.6624672599913732,0.7004390879529954,312,0.28552541636130785,0.6459516429731379,0.6976910229824328
EIF4A2_e4,404,0.7955179328092409,0.8052143171032317,0.7840100216487011,404,0.23671469986374946,0.6860118823618112,0.6860359013513162,404,0.3335697761868731,0.6809593763049803,0.6862829151165397
ELN_e19,150,0.7574760959269593,0.8073321608784276,0.7860231886070829,150,0.01475415725385711,0.049688712585553255,0.09870799017245775,150,0.01810403809471065,0.05609304612229646,0.10121129264841772
ELN_e8,141,0.4506470815855768,0.5521320913236518,0.42541892356174404,141,0.3216002905774273,0.6072880933796945,0.5952309602294619,141,0.6295847811408534,0.6122745964076863,0.5962369964467656
ELOVL7_e5,327,1.0251158244925078,0.7576885285878286,0.7383469110221663,327,0.8802078723099701,0.7820739265134752,0.7908002900005578,327,1.646272652277942,0.7858158592106066,0.7916514158976935
ENG_e10,105,0.5903694749336507,0.4890394963078212,0.47142857142857136,105,0.4844514883646151,0.6462601510245415,0.6132159092758583,105,0.7830440075833567,0.6359787152437888,0.6103235036548077
ENG_e13,153,0.2769543330537409,0.5079113221834407,0.6186388430970473,153,0.21382980158152903,0.654109590953423,0.6234452025266689,153,0.3333866721350643,0.6475422915998373,0.6277429125754367
EPGN_e4,69,1.8179945357992848,0.792909908823927,0.8094263792473513,69,0.5387342854953271,0.8306955534316658,0.8173913043478261,69,1.065781557890284,0.8312267677704686,0.8170990135184509
EPS15L1_e22,384,0.07025853461504514,0.290953808329535,0.2288899975141168,384,0.3991012280544729,0.7140418930773132,0.6651277772216628,384,0.5816251329015713,0.7114615506197948,0.6653324656951897
ERBIN_e22,323,1.381947556722283,0.8746049235153893,0.8522598457870205,323,0.293699617161631,0.832009611190687,0.7978655062391632,323,0.5785272680242866,0.832269771643465,0.7980091227032655
